,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2006-12-18,11.570244789123535,,16.625877380371094,20.47811508178711,24.35304832458496,9.124821662902832,15.598265647888184,,9.42081356048584,23.994888305664062,15.039149284362793
2006-12-19,11.656166076660156,,16.909284591674805,20.461408615112305,24.359947204589844,9.066507339477539,15.610247611999512,,9.461907386779785,24.116731643676758,15.046978950500488
2006-12-20,11.59998893737793,,16.67919158935547,20.528223037719727,24.39450454711914,9.070393562316895,15.62222957611084,,9.431085586547852,24.131057739257812,15.043066024780273
2006-12-21,11.461181640625,,16.600618362426758,20.43914222717285,24.346134185791016,9.027626037597656,15.628217697143555,,9.42595386505127,24.066556930541992,14.976516723632812
2006-12-22,11.398391723632812,,16.440673828125,20.33892059326172,24.194095611572266,8.957645416259766,15.616241455078125,,9.392562866210938,23.966218948364258,14.964783668518066
2006-12-26,11.497536659240723,,16.460323333740234,20.522661209106445,24.31157684326172,9.008187294006348,15.676138877868652,,9.438788414001465,23.98055648803711,15.011751174926758
2006-12-27,11.609906196594238,,16.653934478759766,20.66741943359375,24.435970306396484,9.0742769241333,15.730053901672363,,9.490158081054688,24.09522819519043,15.10960578918457
2006-12-28,11.593372344970703,,16.61745834350586,20.57276725769043,24.35304832458496,9.070393562316895,15.724061965942383,,9.43365478515625,24.066556930541992,15.093948364257812
2006-12-29,11.514060974121094,,16.4519100189209,20.45584487915039,24.194095611572266,9.04317569732666,15.646186828613281,,9.431085586547852,24.002058029174805,15.015666007995605
2007-01-03,11.438044548034668,,15.876659393310547,20.556066513061523,24.346134185791016,9.070393562316895,15.748028755187988,,9.456768989562988,24.009225845336914,15.078298568725586
2007-01-04,11.385168075561523,,15.587645530700684,20.489246368408203,24.24246597290039,9.210355758666992,15.771987915039062,,9.44393253326416,24.281566619873047,15.074376106262207
2007-01-05,11.309162139892578,,15.691459655761719,20.327783584594727,24.1595458984375,9.136489868164062,15.658172607421875,,9.274417877197266,24.1453857421875,14.97260856628418
2007-01-08,11.309162139892578,,15.691459655761719,20.4168701171875,24.2493839263916,9.163702964782715,15.682127952575684,,9.26927661895752,24.17406463623047,14.99609088897705
2007-01-09,11.312466621398926,,15.556768417358398,20.383460998535156,24.235572814941406,9.175365447998047,15.718070030212402,,9.276987075805664,24.1453857421875,15.078298568725586
2007-01-10,11.3917818069458,,15.256518363952637,20.450275421142578,24.318498611450195,9.22202205657959,15.783965110778809,,9.279552459716797,24.188386917114258,15.156583786010742
2007-01-11,11.514060974121094,,15.16953182220459,20.57833480834961,24.518898010253906,9.315328598022461,15.903763771057129,,9.289824485778809,24.453569412231445,15.324904441833496
2007-01-12,11.642949104309082,,15.556768417358398,20.600603103637695,24.588008880615234,9.338654518127441,15.879803657531738,,9.212776184082031,24.5682315826416,15.367958068847656
2007-01-16,11.672693252563477,,15.396824836730957,20.656280517578125,24.719303131103516,9.3192138671875,15.891788482666016,,9.241028785705566,24.625587463378906,15.422772407531738
2007-01-17,11.71235466003418,,15.567995071411133,20.600603103637695,24.740039825439453,9.19869327545166,15.939709663391113,,9.261573791503906,24.76892852783203,15.422772407531738
2007-01-18,11.642949104309082,,15.45294189453125,20.51709747314453,24.629470825195312,9.093720436096191,15.91574764251709,,9.25643539428711,24.840593338012695,15.508880615234375
2007-01-19,11.821410179138184,,15.876659393310547,20.57833480834961,24.615652084350586,9.089831352233887,15.939709663391113,,9.259002685546875,24.847747802734375,15.504961967468262
2007-01-22,11.69913101196289,,15.767228126525879,20.561622619628906,24.346134185791016,9.023738861083984,15.921728134155273,,9.25643539428711,24.697235107421875,15.407100677490234
2007-01-23,11.84784984588623,,16.176910400390625,20.550495147705078,24.629470825195312,9.023738861083984,15.951683044433594,,9.31037425994873,24.5682315826416,15.461904525756836
2007-01-24,11.970132827758789,,16.247060775756836,20.76207733154297,24.56036376953125,9.187029838562012,16.01158332824707,,9.34118938446045,24.75459098815918,15.520622253417969
2007-01-25,11.930463790893555,,15.91313648223877,20.461408615112305,24.42906379699707,9.0742769241333,15.909749031066895,,9.333488464355469,24.668582916259766,15.27401351928711
2007-01-26,11.923863410949707,,15.952425956726074,20.500383377075195,24.332307815551758,9.078166961669922,15.867826461791992,,9.31037425994873,24.53240966796875,15.19964599609375
2007-01-29,11.877589225769043,,15.873857498168945,20.400161743164062,24.387603759765625,9.117048263549805,15.909749031066895,,9.34118938446045,24.4965763092041,15.23878002166748
2007-01-30,11.910637855529785,,16.19655418395996,20.47811508178711,24.373764038085938,9.171479225158691,15.897769927978516,,9.369446754455566,24.618408203125,15.281843185424805
